expName,sid,screenViewingDist,screenWidthCm,screenHeightCm,taskNum,taskLabel,imLeftRetinalSizeNum,imRightRetinalSizeNum,imLeftKnownSizeNum,imRightKnownSizeNum,imLeftRetinalSize,imRightRetinalSize,imLeftKnownSize,imRightKnownSize,condNum,condLabel,correctSideNum,correctSideLabel,imLeftNum,imRightNum,imLeftName,imRightName,isCorrect,responseNum,responseLabel,RT
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,2,right,4,4,ImageFilesMetamers/Small-visSmall/44.jpg,ImageFilesMetamers/Big-visSmall/06.jpg,0,1,leftSide,1176.8233
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,2,right,30,30,ImageFilesMetamers/Small-visSmall/80.jpg,ImageFilesMetamers/Big-visSmall/40.jpg,1,2,rightSide,514.0812
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,1,left,25,25,ImageFilesMetamers/Small-visSmall/73.jpg,ImageFilesMetamers/Big-visSmall/33.jpg,1,1,leftSide,557.8087
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,1,left,8,8,ImageFilesMetamers/Small-visSmall/50.jpg,ImageFilesMetamers/Big-visSmall/10.jpg,1,1,leftSide,703.8152
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,2,right,30,30,ImageFilesMetamers/Small-visSmall/80.jpg,ImageFilesMetamers/Big-visSmall/40.jpg,1,2,rightSide,474.0479
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,2,right,17,17,ImageFilesMetamers/Small-visSmall/63.jpg,ImageFilesMetamers/Big-visSmall/21.jpg,1,2,rightSide,432.1415
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,1,left,19,19,ImageFilesMetamers/Small-visSmall/65.jpg,ImageFilesMetamers/Big-visSmall/25.jpg,1,1,leftSide,446.7104
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,1,left,3,3,ImageFilesMetamers/Small-visSmall/43.jpg,ImageFilesMetamers/Big-visSmall/05.jpg,1,1,leftSide,380.7062
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,1,left,30,30,ImageFilesMetamers/Small-visSmall/80.jpg,ImageFilesMetamers/Big-visSmall/40.jpg,1,1,leftSide,398.3522
E1_TexformStroop,1,57,41,30.75,1,which is smaller on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,2,right,10,10,ImageFilesMetamers/Small-visSmall/52.jpg,ImageFilesMetamers/Big-visSmall/13.jpg,1,2,rightSide,455.0133
